French,English
histoire,history
chercher,search
pensais,thought
genre,kind
mois,month
frère,brother
laisser,let
mettre,to put
laisse,leash
eux,them
longtemps,long time
heures,hours
pendant,while
aucune,any
place,square
parle,speak
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
donné,given
train,train
façon,way
écoute,listen
trouve,find
perdu,lost
main,hand
vieux,old
sois,be
matin,morning
tellement,so much
enfant,child
point,point
venu,came
pardon,sorry
venez,come
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
cause,cause
enfin,finally
attendez,Wait
parti,left
boulot,job
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
bureau,office
